Estimates of Monthly Retail and Food Services Sales by Kind of Business: 1997,,,,,,,,,,,,,,
"[Estimates are shown in millions of dollars and are based on data from the Monthly Retail Trade Survey, Annual Retail Trade Survey, Service Annual Survey, and administrative records]",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
NAICS  Code,Kind of Business,,,,,,,,,,,,,
,,Jan. 1997,Feb. 1997,Mar. 1997,Apr. 1997,May 1997,Jun. 1997,Jul. 1997,Aug. 1997,Sep. 1997,Oct. 1997,Nov. 1997,Dec. 1997,TOTAL
,NOT ADJUSTED,,,,,,,,,,,,,
,"Retail and food services sales, total",200389,197556,225133,220329,234190,227365,231521,235252,222807,232251,228284,271054,2726131
,Retail sales and food services excl motor vehicle and parts,151994,147430,167468,164024,176251,169901,173049,177182,167947,176680,179711,220677,2072314
,Retail sales and food services excl gasoline stations,184433,182644,208571,203965,216874,210316,214043,217519,206016,215089,212278,254683,2526431
,Retail sales and food services excl motor vehicle and parts and gasoline stations,136038,132518,150906,147660,158935,152852,155571,159449,151156,159518,163705,204306,1872614
,"Retail sales, total",181073,178428,203750,199219,211516,205491,208856,211952,201415,210145,207533,249389,2468767
,"Retail sales, total (excl. motor vehicle and parts dealers)",132678,128302,146085,142914,153577,148027,150384,153882,146555,154574,158960,199012,1814950
,GAFO(1),47409,47286,55045,52639,57737,55641,55712,60967,55307,59385,67945,98314,713387
441,Motor vehicle and parts dealers,48395,50126,57665,56305,57939,57464,58472,58070,54860,55571,48573,50377,653817
"4411,4412",Automobile and other motor vehicle dealers,44005,45910,52878,51308,52905,52422,53165,52861,49851,50341,43827,45800,595273
4411,Automobile dealers,42327,43870,50056,48221,49695,49284,50159,49949,47367,47944,41943,43843,564658
44111,New car dealers,38950,40036,45967,44106,45673,45196,46093,46085,43626,44122,38649,40469,518972
44112,Used car dealers,3377,3834,4089,4115,4022,4088,4066,3864,3741,3822,3294,3374,45686
