Estimates of Monthly Retail and Food Services Sales by Kind of Business: 2016,,,,,,,,,,,,,,,
"[Estimates are shown in millions of dollars and are based on data from the Monthly Retail Trade Survey, Annual Retail Trade Survey, Service Annual Survey, and administrative records]",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
NAICS  Code,Kind of Business,,,,,,,,,,,,,,
,,Jan. 2016,Feb. 2016,Mar. 2016,Apr. 2016,May 2016,Jun. 2016,Jul. 2016,Aug. 2016,Sep. 2016,Oct. 2016,Nov. 2016,Dec. 2016,TOTAL,
,NOT ADJUSTED,,,,,,,,,,,,,,
,"Retail and food services sales, total",401911,415093,460910,451121,470116,464721,462004,471690,448516,453155,467232,539667,5506136,
,Retail sales and food services excl motor vehicle and parts,321013,324880,359702,353383,371156,366135,362111,367377,352800,360140,376891,438631,4354219,
,Retail sales and food services excl gasoline stations,370863,386106,427324,415844,431308,424659,422252,432935,410592,414177,431420,502513,5069993,
,Retail sales and food services excl motor vehicle and parts and gasoline stations,289965,295893,326116,318106,332348,326073,322359,328622,314876,321162,341079,401477,3918076,
,"Retail sales, total",351890,363622,405050,394766,413047,410045,405935,416449,394147,397337,413872,482053,4848213,
,"Retail sales, total (excl. motor vehicle and parts dealers)",270992,273409,303842,297028,314087,311459,306042,312136,298431,304322,323531,381017,3696296,
,GAFO(1),89674,94702,104199,98659,103979,102162,102899,107380,98485,101847,114768,148877,1267631,
441,Motor vehicle and parts dealers,80898,90213,101208,97738,98960,98586,99893,104313,95716,93015,90341,101036,1151917,
"4411,4412",Automobile and other motor vehicle dealers,73975,82909,93030,90067,91172,90426,92147,96100,88025,85223,82873,93364,1059311,
4411,Automobile dealers,70393,78320,86386,83117,84037,83087,85623,89924,82567,80503,78752,89247,991956,
44111,New car dealers,62569,67800,76194,73798,75336,73973,76669,80417,73954,71517,70724,80614,883565,
44112,Used car dealers,7824,10520,10192,9319,8701,9114,8954,9507,8613,8986,8028,8633,108391,
4413,"Automotive parts, acc., and tire stores",6923,7304,8178,7671,7788,8160,7746,8213,7691,7792,7468,7672,92606,
"442,443","Furniture, home furn, electronics, and appliance stores",15555,15986,16967,15464,16342,16618,16726,17560,17082,16231,19282,22420,206233,
442,Furniture and home furnishings stores,8297,8507,9402,8734,9139,9252,9313,9706,9667,9175,10079,10989,112260,
4421,Furniture stores,4599,4818,5197,4716,4997,5029,5028,5135,5292,4903,5281,5299,60294,
4422,Home furnishings stores,3698,3689,4205,4018,4142,4223,4285,4571,4375,4272,4798,5690,51966,
44221,Floor covering stores,1457,1503,1780,1727,1751,1882,1803,1936,1864,1795,1725,1685,20908,
442299,All other home furnishings stores,2130,2075,2283,2141,2268,2212,2348,2513,2366,2340,2947,3884,29507,
443,Electronics and appliance stores,7258,7479,7565,6730,7203,7366,7413,7854,7415,7056,9203,11431,93973,
443141,Household appliance stores,1246,1348,1411,1334,1462,1544,1499,1506,1517,1395,1645,1631,17538,
443142,Electronics stores,6012,6131,6154,5396,5741,5822,5914,6348,5898,5661,7558,9800,76435,
444,Building mat. and garden equip. and supplies dealers,21408,22538,29101,31497,33652,33120,29112,28866,27778,27464,27433,25818,337787,
4441,Building mat. and supplies dealers,19154,20032,24796,26164,28033,28214,25917,25904,24875,24509,24629,22759,294986,
44412,Paint and wallpaper stores,677,755,931,944,983,1091,1000,1066,1000,946,847,753,10993,
44413,Hardware stores,1746,1757,2123,2159,2268,2211,2067,2097,1943,2051,1917,2100,24439,
445,Food and beverage stores,56931,54145,58086,56266,59242,58521,59851,58627,57448,58744,59198,65103,702162,
4451,Grocery stores,51810,48747,52254,50543,53053,52332,53382,52474,51405,52655,52772,56444,627871,
44511,Supermarkets and other grocery (except convenience) stores,49846,46788,50065,48356,50698,49936,50825,50021,49106,50393,50625,54287,600946,
4453,"Beer, wine, and liquor stores",3488,3642,3907,3966,4242,4307,4572,4307,4260,4261,4488,5812,51252,
446,Health and personal care stores,25538,26171,27682,26302,26802,26623,25749,27014,26229,25678,25775,29608,319171,
44611,Pharmacies and drug stores,21680,21895,23016,22120,22536,22135,21595,22392,21619,21493,21241,23791,265513,
447,Gasoline stations,31048,28987,33586,35277,38808,40062,39752,38755,37924,38978,35812,37154,436143,
448,Clothing and clothing access. stores,15753,19011,21555,20493,21752,20251,20759,22479,19904,20626,23800,34824,261207,
4481,Clothing stores,11629,13188,15945,15042,15763,15067,15367,16179,14855,15527,17763,24003,190328,
44811,Men's clothing stores,604,672,767,792,839,783,686,729,747,759,805,1098,9281,
44812,Women's clothing stores,2413,2865,3565,3429,3513,3156,3058,3298,3083,3182,3612,4577,39751,
44814,Family clothing stores,6055,6842,8448,7971,8458,8181,8666,8796,8049,8666,9732,13365,103229,
44819,Other clothing stores,1265,1367,1483,1378,1341,1424,1345,1575,1404,1320,1713,2264,17879,
4482,Shoe stores,2163,2945,3238,2915,2952,2779,3073,3898,2790,2750,3084,4316,36903,
44831,Jewelry stores,1769,2637,2129,2276,2768,2189,2088,2181,2042,2123,2705,6050,30957,
451,"Sporting goods, hobby, musical instrument, and book stores",6427,5844,6923,6499,6695,7214,6913,7792,6733,6291,7594,11441,86366,
45111,Sporting goods stores,3104,3235,4075,3792,3939,4631,4314,4302,3587,3395,3870,5837,48081,
45112,"Hobby, toy, and game stores",1191,1221,1374,1250,1243,1188,1239,1239,1315,1428,2234,3432,18354,
451211,Book stores,1424,687,681,671,741,677,652,1496,1037,688,718,1244,10716,
452,General merchandise stores,49678,51619,56375,53822,56662,55680,55976,56578,52143,55817,61665,76698,682713,
4521,Department stores,10199,11074,12568,11647,12238,12296,11850,12735,11409,11934,14892,21358,154200,
452111,Department stores(excl. discount department stores),3162,3727,4289,4076,4228,4085,3851,3920,3902,3921,5214,8536,52911,
452112,Discount dept. stores,7037,7347,8279,7571,8010,8211,7999,8815,7507,8013,9678,12822,101289,
4529,Other general merchandise stores,39479,40545,43807,42175,44424,43384,44126,43843,40734,43883,46773,55340,528513,
45291,Warehouse clubs and superstores,34531,35117,37820,36557,38385,37433,38312,38096,35077,37969,40424,47471,457192,
45299,All other gen. merchandise stores,4948,5428,5987,5618,6039,5951,5814,5747,5657,5914,6349,7869,71321,
453,Miscellaneous store retailers,8335,8665,9714,9789,10937,10451,10055,10404,10184,10572,10078,11485,120669,
4532,"Office supplies, stationery, and gift stores",2261,2242,2379,2381,2528,2399,2525,2971,2623,2882,2427,3494,31112,
45321,Office supplies and stationery stores,1215,1104,1136,1065,1026,949,991,1493,1207,996,972,1129,13283,
45322,"Gift, novelty, and souvenir stores",1046,1138,1243,1316,1502,1450,1534,1478,1416,1886,1455,2365,17829,
45330,Used merchandise stores,1173,1207,1307,1318,1323,1279,1365,1413,1390,1506,1432,1394,16107,
454,Nonstore retailers,40319,40443,43853,41619,43195,42919,41149,44061,43006,43921,52894,66466,543845,
4541,Electronic shopping and mail-order houses,33172,33394,37066,35531,37026,36914,35762,38405,37147,37651,46353,58607,467028,
45431,Fuel dealers,3560,3342,2566,1973,1707,1493,1366,1502,1661,2126,2505,3709,27510,
722,Food services and drinking places,50021,51471,55860,56355,57069,54676,56069,55241,54369,55818,53360,57614,657923,
7224,Drinking places,1876,1871,2039,2002,2043,1905,2060,1999,2059,2137,1968,2089,24048,
