Estimates of Monthly Retail and Food Services Sales by Kind of Business: 2021,,,,,
"[Estimates are shown in millions of dollars and are based on data from the Monthly Retail Trade Survey, Annual Retail Trade Survey, Service Annual Survey, and administrative records]",,,,,
,,,,,
NAICS  Code,Kind of Business,,,,
,,Jan. 2021,Feb. 2021(p),CY CUM,PY CUM
,NOT ADJUSTED,,,,
,"Retail and food services sales, total",517119,490657,1007776,958768
,Retail sales and food services excl motor vehicle and parts,412864,387813,800677,767573
,Retail sales and food services excl gasoline stations,479905,454373,934278,882109
,Retail sales and food services excl motor vehicle and parts and gasoline stations,375650,351529,727179,690914
,"Retail sales, total",464362,440182,904544,834245
,"Retail sales, total (excl. motor vehicle and parts dealers)",360107,337338,697445,643050
,GAFO(1),102333,95130,197463,192101
441,Motor vehicle and parts dealers,104255,102844,207099,191195
"4411,4412",Automobile and other motor vehicle dealers,96537,95324,191861,176418
4411,Automobile dealers,90463,88477,178940,166354
44111,New car dealers,79954,77192,157146,146434
44112,Used car dealers,10509,11285,21794,19920
4413,"Automotive parts, acc., and tire stores",7718,7520,15238,14777
"442,443","Furniture, home furn, electronics, and appliance stores",17773,16294,34067,32708
442,Furniture and home furnishings stores,10707,10019,20726,18942
4421,Furniture stores,6099,5691,11790,10435
4422,Home furnishings stores,(S),(S),,
44221,Floor covering stores,(S),(S),,
442299,All other home furnishings stores,(S),(S),,
443,Electronics and appliance stores,7066,6275,13341,13766
443141,Household appliance stores,1631,1495,3126,2464
443142,Electronics stores,5435,4780,10215,11302
444,Building mat. and garden equip. and supplies dealers,31229,29581,60810,53203
4441,Building mat. and supplies dealers,27143,25613,52756,46734
44412,Paint and wallpaper stores,923,895,1818,1848
44413,Hardware stores,2352,2203,4555,4013
445,Food and beverage stores,71726,65894,137620,126529
4451,Grocery stores,64785,59076,123861,114592
44511,Supermarkets and other grocery (except convenience) stores,62085,56547,118632,109447
4453,"Beer, wine, and liquor stores",5087,4974,10061,8506
446,Health and personal care stores,29509,27775,57284,56743
44611,Pharmacies and drug stores,25420,23752,49172,47623
447,Gasoline stations,37214,36284,73498,76659
448,Clothing and clothing access. stores,15740,16592,32332,36105
4481,Clothing stores,10568,10683,21251,25726
44811,Men's clothing stores,349,353,702,1214
44812,Women's clothing stores,2043,2069,4112,5064
44814,Family clothing stores,5903,5920,11823,14434
44819,Other clothing stores,1184,1187,2371,2569
4482,Shoe stores,2213,2172,4385,4849
44831,Jewelry stores,2640,3405,6045,4892
451,"Sporting goods, hobby, musical instrument, and book stores",7421,6409,13830,11499
45111,Sporting goods stores,4150,3819,7969,6091
45112,"Hobby, toy, and game stores",1646,1444,3090,2374
451211,Book stores,820,458,1278,1583
452,General merchandise stores,59643,54183,113826,107799
4521,Department stores,8327,7881,16208,17546
452111,Department stores(excl. discount department stores),1273,1495,2768,4619
452112,Discount dept. stores,7054,6386,13440,12927
4529,Other general merchandise stores,51316,46302,97618,90253
45291,Warehouse clubs and superstores,44568,39956,84524,78262
45299,All other gen. merchandise stores,6748,6346,13094,11991
453,Miscellaneous store retailers,11175,10508,21683,20696
4532,"Office supplies, stationery, and gift stores",1756,1652,3408,3990
45321,Office supplies and stationery stores,885,763,1648,1779
45322,"Gift, novelty, and souvenir stores",871,889,1760,2211
45330,Used merchandise stores,1385,1341,2726,3052
454,Nonstore retailers,78677,73818,152495,121109
4541,Electronic shopping and mail-order houses,69830,64683,134513,104201
45431,Fuel dealers,4115,4423,8538,7805
722,Food services and drinking places,52757,50475,103232,124523
7224,Drinking places,(S),(S),,
7225,Restaurants and other eating places,49022,46299,95321,109042
722511,Full service restaurants,(S),(S),,
"722513, 722514, 722515",Limited service eating places,28457,25819,54276,54175
,ADJUSTED(2),,,,
,"Retail and food services sales, total",576466,559893,,
,Retail sales and food services excl motor vehicle and parts,456387,444097,,
,Retail sales and food services excl gasoline stations,535571,517604,,
,Retail sales and food services excl motor vehicle and parts and gasoline stations,415492,401808,,
,"Retail sales, total",520162,504548,,
,"Retail sales, total (excl. motor vehicle and parts dealers)",400083,388752,,
,GAFO(1),118584,111870,,
441,Motor vehicle and parts dealers,120079,115796,,
"4411,4412",Automobile and other motor vehicle dealers,111475,107347,,
4413,"Automotive parts, acc., and tire stores",8604,8449,,
"442,443","Furniture, home furn, electronics, and appliance stores",19623,18661,,
442,Furniture and home furnishings stores,12098,11490,,
443,Electronics and appliance stores,7525,7171,,
444,Building mat. and garden equip. and supplies dealers,39996,38002,,
4441,Building mat. and supplies dealers,34710,32753,,
445,Food and beverage stores,72730,72406,,
4451,Grocery stores,64656,64353,,
4453,"Beer, wine and liquor stores",5936,5914,,
446,Health and personal care stores,30204,29930,,
44611,Pharmacies and drug stores,25548,25108,,
447,Gasoline stations,40895,42289,,
448,Clothing and clothing access. stores,21351,20234,,
4481,Clothing stores,14174,13724,,
44811,Men's clothing stores,435,449,,
44812,Women's clothing stores,2765,2616,,
4482,Shoe stores,3069,2511,,
44831,Jewelry stores,3729,3622,,
451,"Sporting goods, hobby, musical instrument, and book stores",8579,8011,,
452,General merchandise stores,66933,62909,,
4521,Department stores,10698,9900,,
4529,Other general merchandise stores,56235,53009,,
45291,Warehouse clubs and superstores,48443,45664,,
45299,All other gen. merchandise stores,7792,7345,,
453,Miscellaneous stores retailers,12744,12341,,
454,Nonstore retailers,87028,83969,,
4541,Electronic shopping and mail order houses,78993,75564,,
45431,Fuel dealers,2676,3146,,
722,Food services and drinking places,56304,55345,,
 ,,,,,
(p) Preliminary estimate,,,,,
"(S) Suppressed - Estimate does not meet publication standards because of high sampling variability (coefficient of variation is greater than 30%), poor response quality (total quantity response rate",,,,,
"is less than 50%), or other concerns about the estimate's quality.",,,,,
 ,,,,,
"(1) GAFO represents stores classified in the following NAICS codes:  442, 443, 448, 451, 452, and 4532. NAICS code 4532 includes office supplies, stationery, and gift stores.",,,,,
"(2) Estimates are adjusted for seasonal variations and holiday and trading-day differences, but not for price changes. Cumulative seasonally adjusted sales estimates are not tabulated.",,,,,
 ,,,,,
Note: Estimates are not adjusted for price changes. Retail and food services total and other subsector totals may include data for kinds of business not shown.,,,,,
"For surveyed Retail companies, approximately 50.7% provided data for this reporting period, resulting in a total quantity response rate of 59.4% for sales.",,,,,
"Information on sample design, estimation procedures, and measures of sampling variability can be found on the internet at http://www.census.gov/retail/mrts/how_surveys_are_collected.html.",,,,,
